id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,67631.0,1352005825110,1,1352007515933,41967991987,69999.0,67382.0,-1347.3878260707716,-1.95334,-26003122940.509766,-1.88701,19990343.0,19990368.0,21000000.0,126080.0,-46.3583,2025-10-06T18:57:42.558Z,67.81,99638.07847,2013-07-06T00:00:00.000Z,,2026-02-16T16:39:52.178Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1964.05,237052014610,2,237052014610,25162833563,2018.79,1933.97,-39.87633281247918,-1.98991,-4629533732.57431,-1.91555,120692449.4802243,120692449.4802243,,4946.05,-60.29056,2025-08-24T19:21:03.333Z,0.432979,453512.90102,2015-10-20T00:00:00.000Z,"{'times': 37.82155342121284, 'currency': 'btc', 'percentage': 3782.155342121284}",2026-02-16T16:39:52.585Z
